species,baseline,pilot,pilot_nbrd,gbif.matched_name,gbif.classification_path,gbif.classification_path_ranks,gbif.classification_path_ids,gbif.taxon_id,gbif.score
Solanum dulcamara,Y,Y,Y,Solanum dulcamara L.,Plantae|Tracheophyta|Magnoliopsida|Solanales|Solanaceae|Solanum|Solanum dulcamara,kingdom|phylum|class|order|family|genus|species,6|7707728|220|1176|7717|2928997|2932737,2932737,0.988
Sparganium erectum,Y,Y,Y,Sparganium erectum L.,Plantae|Tracheophyta|Liliopsida|Poales|Typhaceae|Sparganium|Sparganium erectum,kingdom|phylum|class|order|family|genus|species,6|7707728|196|1369|4246|2702260|7679536,7679536,0.988
Sphaerium corneum,NA,Y,Y,"Sphaerium corneum (Linnaeus, 1758)",Animalia|Mollusca|Bivalvia|Sphaeriida|Sphaeriidae|Sphaerium|Sphaerium corneum,kingdom|phylum|class|order|family|genus|species,1|52|137|10495862|3247675|2286706|2286709,2286709,0.988
Spirodella polyrhiza,Y,NA,NA,Spirodela polyrhiza (L.) Schleid. Schleid. (L.),Plantae|Tracheophyta|Liliopsida|Alismatales|Araceae|Spirodela|Spirodela polyrhiza,kingdom|phylum|class|order|family|genus|species,6|7707728|196|551|6979|2867778|4097481,4097481,0.75
Succinea putris,NA,Y,NA,"Succinea putris (Linnaeus, 1758)",Animalia|Mollusca|Gastropoda|Stylommatophora|Succineidae|Succinea|Succinea putris,kingdom|phylum|class|order|family|genus|species,1|52|225|1456|6531|2297197|2297206,2297206,0.988
Succineid sp,NA,Y,Y,NA,NA,NA,NA,NA,NA
Trifolium fragiferum,NA,Y,Y,Trifolium fragiferum L.,Plantae|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Trifolium|Trifolium fragiferum,kingdom|phylum|class|order|family|genus|species,6|7707728|220|1370|5386|2973363|5358935,5358935,0.988
Typha angustifolia,Y,Y,Y,Typha angustifolia L.,Plantae|Tracheophyta|Liliopsida|Poales|Typhaceae|Typha|Typha angustifolia,kingdom|phylum|class|order|family|genus|species,6|7707728|196|1369|4246|2702102|5289461,5289461,0.988
Typha latifolia,Y,Y,Y,Typha latifolia L.,Plantae|Tracheophyta|Liliopsida|Poales|Typhaceae|Typha|Typha latifolia,kingdom|phylum|class|order|family|genus|species,6|7707728|196|1369|4246|2702102|5289423,5289423,0.988
Urtica dioica,NA,Y,NA,Urtica dioica L.,Plantae|Tracheophyta|Magnoliopsida|Rosales|Urticaceae|Urtica|Urtica dioica,kingdom|phylum|class|order|family|genus|species,6|7707728|220|691|6639|2984391|7960979,7960979,0.988
Urtica dioica subsp. Galeopsifolia,NA,Y,Y,Urtica dioica subsp. galeopsifolia (Wierzb. ex Opiz) J.Chrtek J.Chrtek (Wierzb. ex Opiz),Plantae|Tracheophyta|Magnoliopsida|Rosales|Urticaceae|Urtica|Urtica dioica|Urtica dioica pubescens,kingdom|phylum|class|order|family|genus|species|subspecies,6|7707728|220|691|6639|2984391|7960979|7806201,5670521,0.999
Utricularia vulgaris,Y,NA,NA,Utricularia vulgaris L.,Plantae|Tracheophyta|Magnoliopsida|Lamiales|Lentibulariaceae|Utricularia|Utricularia vulgaris,kingdom|phylum|class|order|family|genus|species,6|7707728|220|408|2391|3172398|3172427,3172427,0.988
Valvata cristata,NA,Y,Y,"Valvata cristata Müller, 1774",Animalia|Mollusca|Gastropoda|Valvatidae|Valvata|Valvata cristata,kingdom|phylum|class|family|genus|species,1|52|225|2699|1434828|4358714,4358714,0.988
Veronica anagalis-aquatica,Y,NA,NA,Veronica anagallis-aquatica L.,Plantae|Tracheophyta|Magnoliopsida|Lamiales|Plantaginaceae|Veronica|Veronica anagallis-aquatica,kingdom|phylum|class|order|family|genus|species,6|7707728|220|408|2420|3172047|3172086,3172086,0.75
Veronica beccabunga,Y,NA,NA,Veronica beccabunga L.,Plantae|Tracheophyta|Magnoliopsida|Lamiales|Plantaginaceae|Veronica|Veronica beccabunga,kingdom|phylum|class|order|family|genus|species,6|7707728|220|408|2420|3172047|3172062,3172062,0.988
Veronica scutellata,Y,NA,NA,Veronica scutellata L.,Plantae|Tracheophyta|Magnoliopsida|Lamiales|Plantaginaceae|Veronica|Veronica scutellata,kingdom|phylum|class|order|family|genus|species,6|7707728|220|408|2420|3172047|3172072,3172072,0.988
Vertigo antivertigo,NA,Y,NA,"Vertigo antivertigo (Draparnaud, 1801)",Animalia|Mollusca|Gastropoda|Stylommatophora|Vertiginidae|Vertigo|Vertigo antivertigo,kingdom|phylum|class|order|family|genus|species,1|52|225|1456|3244262|2293972|4567237,4567237,0.988
Vertigo moulinsiana,NA,Y,NA,"Vertigo moulinsiana (Dupuy, 1849)",Animalia|Mollusca|Gastropoda|Stylommatophora|Vertiginidae|Vertigo|Vertigo moulinsiana,kingdom|phylum|class|order|family|genus|species,1|52|225|1456|3244262|2293972|4567215,4567215,0.988
Vertigo pygmaea,NA,Y,NA,"Vertigo pygmaea (Draparnaud, 1801)",Animalia|Mollusca|Gastropoda|Stylommatophora|Vertiginidae|Vertigo|Vertigo pygmaea,kingdom|phylum|class|order|family|genus|species,1|52|225|1456|3244262|2293972|2293983,2293983,0.988
Vitrina pellucida,NA,Y,NA,"Vitrina pellucida (O.F.Müller, 1774)",Animalia|Mollusca|Gastropoda|Stylommatophora|Vitrinidae|Vitrina|Vitrina pellucida,kingdom|phylum|class|order|family|genus|species,1|52|225|1456|6529|2294288|2294290,2294290,0.988
Zannichelia palustris,Y,NA,NA,Zannichellia palustris L.,Plantae|Tracheophyta|Liliopsida|Alismatales|Potamogetonaceae|Zannichellia|Zannichellia palustris,kingdom|phylum|class|order|family|genus|species,6|7707728|196|551|6721|2652929|2756540,2756540,0.75
Zonitoides nitidus,NA,Y,Y,NA,NA,NA,NA,NA,NA
