ECN_CODE,PLNTT_CODE_SHORT,PLNTT_CODE,BRC_CODE_short,BRC_CODE,BRC_CONCEPT,NBN,ECN_name_plus_extras,BRC_NAME,PLABRYATT_VTA.NAME,DESC_ABBR,GROWTH_STAGE,PHYLUM,TX_LV_ECN,TX_LV_BRC_PLNTT,PLANT_TYPE,Tjan,Tjul,Prec,E1,E2,L,F,R,N,S,HM,Ord,FamA,VTR.Taxon.name,Competitor,Ruderal,Stress.Tolerant,BRC.V.PLNATT,match.comment,gbif.matched_name,gbif.classification_path,gbif.classification_path_ranks,gbif.classification_path_ids,gbif.taxon_id,gbif.score
1235,0910_1888,0910  1888,0910_1888,902 1888,Vas_1888,,Selaginella selaginoides,Selaginella selaginoides,Selaginella selaginoides,,,vascular,spp,spp,,2.796244094,13.03665354,1442.800772,4,6,8,7,6,2,0,NA,Sela,Sela,Selaginella selaginoides,NA,NA,NA,match,,Selaginella selaginoides (L.) Link Link (L.),Plantae|Tracheophyta|Lycopodiopsida|Selaginellales|Selaginellaceae|Selaginella|Selaginella selaginoides,kingdom|phylum|class|order|family|genus|species,6|7707728|245|420|6724|2688177|2688197,8121548,0.988
4012,0920_1889,0920  1889,,,,,Selinum carvifolia,,Selinum carvifolia,,,vascular,spp,spp,,3.35,16.14,595.3575,7,3,7,7,8,4,0,NA,Apia,Apia,Selinum carvifolia,NA,NA,NA,match,,Selinum carvifolia Gilib. ex DC.,Plantae|Tracheophyta|Magnoliopsida|Apiales|Apiaceae|Selinum|Selinum carvifolia,kingdom|phylum|class|order|family|genus|species,6|7707728|220|1351|6720|5371780|7444613,7444613,0.988
1236,0920_1891,0920  1891,,,,,Senecio aquaticus,,Senecio aquaticus,,,vascular,spp,spp,,3.604502488,14.47769279,1109.058456,7,3,7,8,6,5,0,NA,Aste,Aste,Senecio aquaticus,1,3,0,match,,Senecio aquaticus Hill,Plantae|Tracheophyta|Magnoliopsida|Asterales|Asteraceae|Jacobaea|Jacobaea aquatica,kingdom|phylum|class|order|family|genus|species,6|7707728|220|414|3065|7678064|8340600,3107319,0.988
1237,0920_1896,0920  1896,0920_1896,902 1896,Vas_1896,,Senecio erucifolius,Senecio erucifolius,Senecio erucifolius,,,vascular,spp,spp,,3.779331797,15.82309524,783.349038,7,4,7,5,7,5,0,NA,Aste,Aste,Senecio erucifolius,1.7,0.6,1.7,match,,Senecio erucifolius L.,Plantae|Tracheophyta|Magnoliopsida|Asterales|Asteraceae|Jacobaea|Jacobaea erucifolia|Jacobaea erucifolia erucifolia,kingdom|phylum|class|order|family|genus|species|subspecies,6|7707728|220|414|3065|7678064|10487667|7222768,3107737,0.988
1239,0920_1899,0920  1899,0920_1899,902 1899,Vas_1899,,Senecio jacobaea,Senecio jacobaea,Senecio jacobaea,sene jacob,,vascular,spp,spp,,3.554576087,14.49854891,1101.776625,7,4,7,4,6,4,0,NA,Aste,Aste,Senecio jacobaea,1.7,1.7,0.6,match,,Senecio jacobaea L.,Plantae|Tracheophyta|Magnoliopsida|Asterales|Asteraceae|Jacobaea|Jacobaea vulgaris|Jacobaea vulgaris vulgaris,kingdom|phylum|class|order|family|genus|species|subspecies,6|7707728|220|414|3065|7678064|5388602|7222764,3097243,0.988
1243,0920_1905,0920  1905,0920_1905,902 1905,Vas_1905,,Senecio vulgaris,Senecio vulgaris,Senecio vulgaris,,,vascular,spp,spp,,3.602932922,14.56137805,1074.761708,8,3,7,5,7,7,0,NA,Aste,Aste,Senecio vulgaris,0,4,0,match,,Senecio vulgaris L.,Plantae|Tracheophyta|Magnoliopsida|Asterales|Asteraceae|Senecio|Senecio vulgaris,kingdom|phylum|class|order|family|genus|species,6|7707728|220|414|3065|9802230|3108983,3108983,0.988
1244,0920_1906,0920  1906,,,,,Serratula tinctoria,,Serratula tinctoria,,,vascular,spp,spp,,3.8385138,15.51400212,964.8028344,7,3,7,6,6,2,0,NA,Aste,Aste,Serratula tinctoria,1.7,0.6,1.7,match,,Serratula tinctoria L.,Plantae|Tracheophyta|Magnoliopsida|Asterales|Asteraceae|Serratula|Serratula tinctoria,kingdom|phylum|class|order|family|genus|species,6|7707728|220|414|3065|3097718|5388835,5388835,0.988
1245,0920_1908,0920  1908,0920_1908,902 1908,Vas_1908,,Sesleria albicans,Sesleria caerulea,Sesleria caerulea,,,vascular,spp,spp,,3.074878049,13.92573171,1261.671494,5,3,7,6,8,2,0,NA,Poal,Poac,Sesleria caerulea,NA,NA,NA,match,,Sesleria caerulea (L.) Ard. Ard. (L.),Plantae|Tracheophyta|Liliopsida|Poales|Poaceae|Sesleria|Sesleria caerulea,kingdom|phylum|class|order|family|genus|species,6|7707728|196|1369|3073|2706000|4119608,4119608,0.988
1247,0920_1912,0920  1912,0920_1912,902 1912,Vas_1912,,Sherardia arvensis,Sherardia arvensis,Sherardia arvensis,,,vascular,spp,spp,,3.893073852,15.24433134,915.9974251,8,3,7,4,6,4,0,NA,Gent,Rubi,Sherardia arvensis,0,3,1,match,,Sherardia arvensis L.,Plantae|Tracheophyta|Magnoliopsida|Gentianales|Rubiaceae|Sherardia|Sherardia arvensis,kingdom|phylum|class|order|family|genus|species,6|7707728|220|412|8798|2908790|5339050,5339050,0.988
1250,0920_1916,0920  1916,,,,,Silaum silaus,,Silaum silaus,,,vascular,spp,spp,,3.568108108,15.83597713,743.3786694,7,4,8,5,7,4,0,NA,Apia,Apia,Silaum silaus,0.675,0.675,2.65,match,,Silaum silaus Schinz & Thell.,Plantae|Tracheophyta|Magnoliopsida|Apiales|Apiaceae|Silaum|Silaum silaus,kingdom|phylum|class|order|family|genus|species,6|7707728|220|1351|6720|6027385|6027388,6027388,0.988
1254,0920_1259,0920  1259,0920_1259,902 1259,Vas_1259,,Silene dioica,Silene dioica,Silene dioica,sile dioic,,vascular,spp,spp,,3.392108303,14.59338267,1065.385462,5,3,5,6,6,7,0,NA,Cary,Cary,Silene dioica,1.333333333,1.333333333,1.333333333,match,,Silene dioica Fisch. & C.A.Mey.,Plantae|Tracheophyta|Magnoliopsida|Caryophyllales|Caryophyllaceae|Silene|Silene dioica,kingdom|phylum|class|order|family|genus|species,6|7707728|220|422|2518|3085897|8182257,8182257,0.988
1252,0920_1258,0920  1258,0920_1258,902 1258,Vas_1258,,Silene alba,Silene latifolia,Silene latifolia,,,vascular,spp,spp,,3.601188392,15.09035468,910.7561746,8,4,7,4,7,6,0,NA,Cary,Cary,Silene latifolia,1,3,0,match,,Silene latifolia Poir.,Plantae|Tracheophyta|Magnoliopsida|Caryophyllales|Caryophyllaceae|Silene|Silene latifolia,kingdom|phylum|class|order|family|genus|species,6|7707728|220|422|2518|3085897|5384805,5384805,0.988
1256,0920_1926,0920  1926,,,,,Silene vulgaris maritima,,Silene uniflora,,,vascular,spp,spp,,3.997587108,14.05514808,1262.956868,5,2,8,6,6,4,3,NA,Cary,Cary,Silene uniflora,NA,NA,NA,match,,Silene uniflora Roth,Plantae|Tracheophyta|Magnoliopsida|Caryophyllales|Caryophyllaceae|Silene|Silene uniflora,kingdom|phylum|class|order|family|genus|species,6|7707728|220|422|2518|3085897|8406661,8406661,0.988
1263,0920_1934,0920  1934,,,,,Sison amomum,,Sison amomum,,,vascular,spp,spp,forb,3.917427123,16.17366286,756.3221103,9,2,7,4,7,5,0,NA,Apia,Apia,Sison amomum,NA,NA,NA,match,,Sison amomum L.,Plantae|Tracheophyta|Magnoliopsida|Apiales|Apiaceae|Sison|Sison amomum,kingdom|phylum|class|order|family|genus|species,6|7707728|220|1351|6720|6026814|3641433,3641433,0.988
